Population and dwelling counts: Canada and population centres 1,,,,,,,,,
Frequency: Occasional,,,,,,,,,
Table: 98-10-0011-01,,,,,,,,,
Release date: 2022-02-09,,,,,,,,,
"Geography: Canada, Province or territory, Population centre, Population centre part",,,,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,,,
Variable List: Population and dwelling counts (7),,,,,,,,,
,,,,,,,,,
,,Population and dwelling counts (7),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Geographic name,Geographic area type,Province or territory abbreviation,,,,,,,
Canada 2,Country,...,"36,991,981","35,151,728",5.2,"16,284,235","14,978,941","8,788,702.80",4.2
Newfoundland and Labrador,Province,N.L.,"510,550","519,716",-1.8,"269,184","223,253","358,170.37",1.4
Bay Roberts,Small population centre,N.L.,"6,897","6,896r",0,"3,184","2,888",16.88,408.5
Bishop's Falls,Small population centre,N.L.,"3,006","3,087r",-2.6,"1,498","1,386",6.89,436.1
Bonavista,Small population centre,N.L.,"2,979","3,140",-5.1,"1,628","1,379",4.36,683.1
Botwood,Small population centre,N.L.,"2,741","2,819r",-2.8,"1,374","1,237",5.54,494.4
Burgeo,Small population centre,N.L.,"1,176","1,307",-10,659,570,2.08,566.5
Carbonear,Small population centre,N.L.,"6,235","6,613r",-5.7,"3,118","2,829",11.16,558.9
Channel-Port aux Basques,Small population centre,N.L.,"3,127","3,665",-14.7,"1,644","1,500",5.17,605.2
Clarenville-Shoal Harbour,Small population centre,N.L.,"6,143","5,828r",5.4,"2,854","2,573",12.46,493
Corner Brook,Small population centre,N.L.,"19,129","19,546r",-2.1,"9,451","8,775",21.6,885.4
Deer Lake,Small population centre,N.L.,"4,346","4,632r",-6.2,"2,066","1,920",8.2,529.8
Gander,Small population centre,N.L.,"9,918","10,220",-3,"4,604","4,285",13.64,727.2
Grand Bank,Small population centre,N.L.,"2,071","2,230",-7.1,"1,136","1,011",2.24,924.7
Grand Falls-Windsor,Small population centre,N.L.,"11,986","12,519r",-4.3,"5,816","5,372",12.34,971.2
Happy Valley-Goose Bay,Small population centre,N.L.,"6,996","6,678r",4.8,"2,936","2,698",10.17,687.9
Labrador City,Small population centre,N.L.,"9,011","8,763r",2.8,"4,075","3,720",14.5,621.7
Lewisporte,Small population centre,N.L.,"2,064","2,179r",-5.3,"1,002",889,2.33,884
Marystown,Small population centre,N.L.,"2,671","2,702r",-1.1,"1,355","1,219",5.71,468.2
Massey Drive,Small population centre,N.L.,"1,606","1,632",-1.6,670,626,2.45,655.1
Pasadena,Small population centre,N.L.,"2,769","2,800",-1.1,"1,268","1,193",3.54,781.9
Placentia,Small population centre,N.L.,"1,338","1,374r",-2.6,761,638,2.62,510
Sheshatshiu,Small population centre,N.L.,"1,049","1,272r",-17.5,331,299,1.61,653.5
Springdale,Small population centre,N.L.,"2,182","2,178r",0.2,"1,081",980,3.76,579.6
St. Anthony,Small population centre,N.L.,"1,986","2,049",-3.1,943,842,4.52,439
St. John's,Large urban population centre,N.L.,"185,565","181,955r",2,"86,189","79,537",178,"1,042.50"
Stephenville,Small population centre,N.L.,"7,344","7,271r",1,"3,685","3,488",15.48,474.5
Stephenville Crossing,Small population centre,N.L.,"1,038",941r,10.3,517,475,1.4,742.6
Wabana,Small population centre,N.L.,"1,091","1,325",-17.7,700,558,2.53,432
Prince Edward Island,Province,P.E.I.,"154,331","142,907",8,"74,934","64,570","5,681.18",27.2
Charlottetown,Medium population centre,P.E.I.,"52,390","48,054r",9,"24,116","22,617",57.56,910.2
Kensington,Small population centre,P.E.I.,"1,743","1,618r",7.7,865,834,2.74,635.5
Montague,Small population centre,P.E.I.,"1,896","1,834",3.4,931,850,2.07,916.9
Summerside,Small population centre,P.E.I.,"14,952","13,969r",7,"6,924","6,643",16.97,881.2
Nova Scotia,Province,N.S.,"969,383","923,598",5,"476,007","428,228","52,824.71",18.4
Amherst,Small population centre,N.S.,"9,548","9,550",0,"4,866","4,545",12.38,771.5
Antigonish,Small population centre,N.S.,"5,620","5,079r",10.7,"3,212","2,664",5.88,955.7
Berwick,Small population centre,N.S.,"2,455","2,517r",-2.5,"1,087","1,050",4.31,570.1
Bridgewater,Small population centre,N.S.,"8,790","8,532",3,"4,493","4,260",13.63,644.9
Brookside,Small population centre,N.S.,"1,439","1,441",-0.1,579,562,2.81,512
Cape Breton - Sydney,Medium population centre,N.S.,"30,960","30,170r",2.6,"15,043","14,070",30.91,"1,001.50"
Centreville,Small population centre,N.S.,"1,159","1,129",2.7,511,500,2.36,490.2
