Name,Organization,City/Town,Address,UPHNS #,Status
3030 Gordon,RAIN,Coquitlam,"3030 Gordon Ave Coquitlam, BC V3C 0E7,Canada",2-005,Active
A Way Home,ASK,Kamloops," Kamloops, BC ,Canada",1-018,Active
AAWEAR Mobile,AAWEAR,Calgary," Calgary, BC ,Canada",,Active
AAWEAR Mobile (Chinook),AAWEAR,Calgary,"229 - 61 Avenue SW Calgary, Alberta T2H 0B4,Canada",,Active
AAWEAR Mobile (Crowfoot),AAWEAR,Calgary,"141 Crowfoot Way NW Calgary, Alberta T3G 4B7,Canada",,Active
AAWEAR Mobile (Forest Lawn),AAWEAR,Calgary,"2015 48 St SE Calgary, Alberta T2B 1M1,Canada",,Active
AAWEAR Mobile (Marlborough),AAWEAR,Calgary,"3805 Marlborough Dr NE Calgary, Alberta T2A 6E1,Canada",,Active
AAWEAR Mobile (Rundle Station),AAWEAR,Calgary,"2529 - 36 Street NE Calgary, Alberta T1Y 6R4,Canada",,Active
AAWEAR Mobile (Sunalta),AAWEAR,Calgary,"2008 10 Ave SW Calgary, Alberta T3C 0J8,Canada",,Active
AAWEAR Mobile (Victoria Park),AAWEAR,Calgary,"232 15 Ave SE Calgary, Alberta T2G 2N6,Canada",,Active
AAWEAR Mobile Wood's Homes (Inglewood),AAWEAR,Calgary,"1008 14 St SE Calgary, Alberta T2G 0X3,Canada",,Active
ANKORS (Cranbrook),ANKORS,Cranbrook,"1324 2 St N Cranbrook, BC V1C 4T6,Canada",1-002,Active
ANKORS (Grand Forks),ANKORS,Grand Forks,"7331 3rd St Grand Forks, BC V0H 1H0,Canada",1-007,Active
ANKORS (Nelson),ANKORS,Nelson,"101 Baker St Nelson, BC V1L 4H1,Canada",1-007,Active
ANKORS Mobile (Castlegar),ANKORS,Castlegar,"1660 Columbia Ave Castlegar, BC V1N 1H9,Canada",1-007,Active
ANKORS Mobile (Trail),ANKORS,Trail,"1300 Pine Ave Trail, BC  V1R 4E7,Canada",1-007,Active
ANKORS Outreach (Castlegar),ANKORS,Castlegar,"Dr J van vliet, 2109 Columbia Avenue Castlegar, BC V1N 2W9",1-007,Active
ANKORS Outreach (Cranbrook),ANKORS,Cranbrook,"1324 2 St N Cranbrook, BC V1C 4T6,Canada",1-007,Active
ANKORS Outreach (Grand Forks),ANKORS,Grand Forks,"7331 3rd St Grand Forks, BC V0H 1H0,Canada",1-007,Active
ANKORS Outreach (Greenwood),ANKORS,Greenwood," Greenwood, BC ,Canada",1-007,Active
ANKORS Outreach (Kaslo),ANKORS,Kaslo," Kaslo, BC ,Canada",1-007,Active
ANKORS Outreach (Kimberly),ANKORS,Kimberley,"350 Ross Street. Kimberley, V1A 2Z9",1-007,Active
ANKORS Outreach (Nakusp),ANKORS,Nakusp," Nakusp, BC ,Canada",1-007,Active
ANKORS Outreach (Nelson),ANKORS,Nelson,"101 Baker St Nelson, BC V1L 4H1,Canada",1-007,Active
ANKORS Outreach (New Denver),ANKORS,New Denver," New Denver, BC ,Canada",1-007,Active
ANKORS Outreach (Salmo),ANKORS,Salmo," Salmo, BC ,Canada",1-027,Active
ANKORS Outreach (Slocan Valley),ANKORS,Slocan Valley," Slocan, BC ,Canada",1-007,Active
ANKORS Outreach (Trail),ANKORS,Trail,"1458 Bay Ave Trail, BC V1R 4A9,Canada",1-021,Active
ASK Wellness (433 Tranquille),ASK,Kamloops,"433 Tranquille Rd Kamloops, BC V2B 3G9,Canada",1-009,Active
ASK Wellness (Crossroads),ASK,Kamloops," ,  ,",1-010,Active
ASK Wellness (Fairhaven),ASK,Penticton,"2670 Skaha Lake Rd Penticton, Penticton V2A 6G1,Canada",1-019,Inactive
ASK Wellness (Merritt),ASK,Merritt,"2196 Quilchena Ave, Merritt, BC V1K 1B8",1-013,Active
ASK Wellness (Spero House),ASK,Kamloops,"433 Tranquille Rd, Kamloops, BC V2B 3G9",1-012,Active
ASK Wellness Mobile Outreach,ASK,Kamloops," ,  ,",1-009,Active
Abbotsford Hub,BCCSU,Abbotsford," ,  ,",,Inactive
Abby Drug War Survivors (NOMAD),MOUNT,Abbotsford,"2444 W Railway Street Abbotsford, BC V2S 2E4,Canada",2-028,Active
AliTunes Music Festival 2023,UBCO,Kelowna," ,  ,",,Inactive
Alouette Housing,LMPS,Maple Ridge,"106 22838 Lougheed Highway Maple Ridge, BC V2X 2T8",2-008,Active
AltiTunes Music Festival 2022,UBCO,Kelowna," Big White,  ,",,Inactive
Altitude Music Festival 2022,MOUNT,Boston Bar,"48500 Tuckkwiowhum Road Boston Bar, BC V0K 1C0,Canada",2-019,Inactive
BCCSU Conference 2019,BCCSU,Vancouver," ,  ,",,Inactive
BCCSU Conference 2023,VCH,Vancouver," ,  ,",,Inactive
BCCSU Conference 2024,VCH,Vancouver,"1128 W Hastings St Vancouver, BC V6E 4R5,Canada",temp,Inactive
BCCSU Office,BCCSU,Vancouver,"400-1045 Howe Street Vancouver,  ,",3-012,Active
BCG Williams Lake (Remote),ASK,Williams Lake,"55 6th Ave south Williams Lake, BC V2G 1K8,",1-043,Active
Bass Coast Music Festival 2018,ANKORS,Merritt,"1000 Midday Valley Road Merritt, BC V1K 1L4,Canada",1-901,Inactive
Bass Coast Music Festival 2018,BCCSU,Merritt,"1000 Midday Valley Road Merritt, BC V1K 1L4,Canada",1-901,Inactive
Bass Coast Music Festival 2022,IHA,Merritt,"1000 Midday Valley Road Merritt, BC V1K 1L4,Canada",1-901,Inactive
Bass Coast Music Festival 2023,IHA,Merritt,"1000 Midday Valley Road Merritt, BC V1K 1L4,Canada",1-901,Inactive
Bass Coast Music Festival 2024,IHA,Merritt,"1000 Midday Valley Road Merritt, BC V1K 1L4,Canada",1-901,Inactive
Big White,UBCO,Kelowna,"5315 Big White Rd Kelowna, BC V1P 1P3,Canada",,Inactive
Birdhouse Pride Event 2024,VCH,Vancouver,"44 W 4th Ave Vancouver, BC V5Y 1G3,Canada",Temp,Inactive
Blackberry Festival 2023,LIFT,Powell River,"4721 Marine Avenue Powell River, BC V8A 2L2,Canada",,Inactive
Block Rocking Beats Music Festival 2022,VCH,Vancouver," Vancouver,  ,",,Inactive
Blood Ties,BT4D,Whitehorse," ,  ,",,Active
Boots and Buckles Music Festival 2022,ASK,Kamloops," ,  ,",,Inactive
Burdock House (Penticton),ASK,Penticton,"594 Winnipeg St Penticton, BC V2A 5M9,Canada",1-001,Active
Burn in the Forest Music Festival 2019,ASK,Merritt," ,  ,",,Inactive
Burn in the Forest Music Festival 2023,ASK,Merritt,"1000 Midday Valley Road Merritt, BC V1K 1L4,Canada",,Inactive
Burnaby Mental Health (BGH),LMPS,Burnaby,"3935 Kincaid St Burnaby, BC V5G 2X6,Canada",2-008,Active
CMHA (Albert St.),CMHA,Nanaimo,"250 Albert Street Nanaimo, BC V9R 2V6,Canada",4-052,Active
CMHA Merritt Place,ASK,Kamloops,"725 Notre Dame Drive Kamloops, BC V2C5N8,Canada",1-009,Active
CMHA Rosethorn,ASK,Kamloops," ,  ,",1-009,Active
CMHA Temporary Shelter,ASK,Kamloops," Kamloops,  ,",1-009,Active
CRC OPS,TNH,Powell River,"4752 Joyce Avenue Powell River, BC V8A 3B6,Canada",3-006,Active
CRC OPS,LIFT,Powell River,"4752 Joyce Avenue Powell River, BC V8A 3B6,Canada",3-006,Active
CSUN,POUNDS,Quesnel,"#3-445 Anderson Drive Quesnel, BC V2J 5J4,Canada",5-021,Active
Cammy LaFleur Outreach (Vernon),UBCO,Vernon,"2800 33rd St Vernon, BC V1T 5S5,Canada",,Inactive
Cammy LaFleur Outreach (Vernon),ASK,Vernon,"2800 33rd St Vernon, BC V1T 5S5,Canada",,Inactive
Cammy Lafleur,MSP,Vernon,"2800 33rd St Vernon, BC V1T 5S5,Canada",1-008,Active
Community Inclusion Centre,ANKORS,Trail,"1458 Bay Ave Trail, BC V1R 4A9,Canada",1-021,Active
Community Resource Centre,LIFT,Powell River,"4752 Joyce Ave Powell River, BC V8A 3B6,Canada",3-006,Active
Compass House (Penticton),ASK,Penticton,"1706 Main St, Penticton, BC V2A 5G8",1-020,Active
Connex,LMPS,Maple Ridge,"23125 116th Ave Maple Ridge, BC ,",,Inactive
Cornerstone Shelter,UBCO,Kelowna,"425 Leon Ave, Kelowna, BC V1Y 6J4",,Inactive
Curiosity Music Festival 2019,ASK,Merritt," ,  ,",,Inactive
DULF Event,BCCSU,Vancouver," ,  ,",,Inactive
DULF Event,GYDT,Vancouver," ,  ,",,Inactive
Dawson City Music Festival 2024,BT4D,Dawson City,"802 Third Ave Dawson City, YT Y0B 1G0,Canada",,Active
Dawson Creek,POUNDS,Dawson Creek,"11100 13 Street Dawson Creek, BC V1G 3W8,Canada",5-017,Active
Deep Roots Music Festival 2021,ASK,Kamloops," Kamloops,  ,",,Inactive
Deep Roots Music Festival 2022,ASK,Chase," ,  ,",,Inactive
Denim on the Diamond Music Festival 2022,UBCO,Kelowna," ,  ,",,Inactive
Diamondhead Motor Inn,MOUNT,Mission,"32550 Logan Avenue Mission, BC  V2V 1C6 ,Canada",2-023,Active
Douglas Road Shelter,LMPS,Burnaby,"2294 Douglas Rd Burnaby, BC V5C 5A7,Canada",2-008,Active
Dr. Peter Center - IOAD 2023,VCH,Vancouver,"1110 Comox Street Vancouver, BC ,",,Inactive
Dr. Peter Centre,BCCSU,Vancouver,"1110 Comox St Vancouver, BC V6E 1K5,Canada",,Inactive
Dr. Peter Centre,VCH,Vancouver,"1110 Comox St Vancouver, BC V6E 1K5,Canada",,Active
Drop-off (West Kelowna),ASK,Kelowna," ,  ,",,Active
EKNPUD Office,ANKORS,Kimberley,"4418 304 Street Kimberley, BC V1A 3H4,Canada",1-028,Active
Electric Love Music Festival 2018,BCCSU,Agassiz," ,  ,",,Inactive
Electric Love Music Festival 2022,ASK,Chase," ,  ,",,Inactive
Electric Love Music Festival 2024,ASK,Pritchard,"5653 Cel7wet Rd Pritchard, BC V0E 1M0,Canada",,Active
Ellis Place,UBCO,Kelowna,"1475 Ellis St, Kelowna, BC V1Y 2A3",,Inactive
FSJ Corporate Office,POUNDS,Fort St. John,"300 - 9900 100 Ave Fort St. John, BC V1J 5S7,Canada",5-020,Active
