Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Vancouver Coastal,2CNRB7UVF2G3,2022-04-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,14.5
Vancouver Coastal,MQGV9BBJRFJT,2022-04-30,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,51.8
Vancouver Coastal,7HB84X7AZEVH,2022-04-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,14.2
Vancouver Coastal,VPC493FZUBWC,2022-04-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,41.2
Vancouver Coastal,Y7GN49244ANT,2022-04-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,41.7
Vancouver Coastal,BWRPTMCKQDRJ,2022-04-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,17.2
Vancouver Coastal,HWDWEXV9UU79,2022-04-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,25.9
Vancouver Coastal,GEWMPA3W34HA,2022-04-30,Get Your Drugs Tested,Vancouver,Heroin,Opioid,15.8
Vancouver Coastal,JC2YE6BJPC6T,2022-04-30,Get Your Drugs Tested,Vancouver,Heroin,Opioid,40.5
Vancouver Coastal,KUHFK9B8RZ9Y,2022-04-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,11.7
Vancouver Coastal,TYFJCHNPX2Y7,2022-04-29,Molson OPS,Vancouver,Down (Unknown Opioid),Opioid,19.5
Vancouver Coastal,4A4YTDDX3MD6,2022-04-29,Molson OPS,Vancouver,Fentanyl,Opioid,9.8
Vancouver Coastal,6FMYBXTTEQMB,2022-04-29,Molson OPS,Vancouver,Fentanyl,Opioid,15.1
Vancouver Coastal,6PFM4WX2U82A,2022-04-29,Molson OPS,Vancouver,Fentanyl,Opioid,39.2
Vancouver Coastal,UP2MCHH9RJZ8,2022-04-29,Molson OPS,Vancouver,Fentanyl,Opioid,14.7
Vancouver Coastal,YC2N7CZMXPXC,2022-04-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,30.0
Island Health,JFQKDUBX8HAR,2022-04-29,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,11.2
Island Health,T9XD48V88PHG,2022-04-29,CMHA,Nanaimo,Fentanyl,Opioid,26.2
Island Health,V8UKDWG7JR8T,2022-04-29,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,12.1
Vancouver Coastal,E9AQM9Q9DAAG,2022-04-29,Insite,Vancouver,Fentanyl,Opioid,16.9
Vancouver Coastal,KX4F6WYQT36P,2022-04-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,18.6
Vancouver Coastal,M3DREYAUC7UX,2022-04-29,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,71.7
Vancouver Coastal,N8DEHJPN3UTY,2022-04-29,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,5.9
Vancouver Coastal,8PWTTU6MN2ZK,2022-04-29,Insite,Vancouver,Fentanyl,Opioid,17.3
Vancouver Coastal,M74MQNMPT9ER,2022-04-29,Insite,Vancouver,Fentanyl,Opioid,8.5
Vancouver Coastal,3H3HNF8Y3R4Q,2022-04-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,12.7
Island Health,6ETE2J2MAKU2,2022-04-29,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,6.9
Island Health,39D7QY8KN7PC,2022-04-29,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,5.8
Island Health,KVHEVCB6RT6P,2022-04-29,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,7.5
Island Health,MWB6TZ77MR4U,2022-04-29,CMHA,Nanaimo,Fentanyl,Opioid,6.3
Island Health,YX3PCMTY9FXV,2022-04-29,CMHA,Nanaimo,Fentanyl,Opioid,11.7
Vancouver Coastal,PTEVBERCH8FG,2022-04-28,Insite,Vancouver,Fentanyl,Opioid,7.1
Vancouver Coastal,7A4W7XD4ZZJB,2022-04-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,41.2
Vancouver Coastal,7BF2M38KFB8X,2022-04-28,Insite,Vancouver,Fentanyl,Opioid,12.8
Island Health,8VP978JVXXNX,2022-04-28,CMHA,Nanaimo,Fentanyl,Opioid,16.9
Vancouver Coastal,4Q9FAHKPF72K,2022-04-28,Insite,Vancouver,Fentanyl,Opioid,9.9
Vancouver Coastal,9DUBEFBFM86B,2022-04-28,Insite,Vancouver,Fentanyl,Opioid,13.6
Island Health,XXCC9YBEXBMJ,2022-04-28,CMHA,Nanaimo,Fentanyl,Opioid,6.7
Fraser Health,9XGCZM63WBPM,2022-04-27,SafePoint,Surrey,Down (Unknown Opioid),Opioid,37.9
Fraser Health,33BKFWG6AD83,2022-04-27,SafePoint,Surrey,Down (Unknown Opioid),Opioid,18.3
Fraser Health,HVKPATGADVH9,2022-04-27,SafePoint,Surrey,Down (Unknown Opioid),Opioid,12.8
Vancouver Coastal,XQ6QBHX4996J,2022-04-27,Insite,Vancouver,Down (Unknown Opioid),Opioid,7.7
Vancouver Coastal,P2Y7TE7GHBAF,2022-04-27,Insite,Vancouver,Down (Unknown Opioid),Opioid,16.7
Fraser Health,7TMRUJY7WQP8,2022-04-27,SafePoint,Surrey,Down (Unknown Opioid),Opioid,13.8
Fraser Health,9FV8PWAXQUCB,2022-04-27,SafePoint,Surrey,Down (Unknown Opioid),Opioid,12.3
Vancouver Coastal,3KKQJUQB232P,2022-04-27,Insite,Vancouver,Fentanyl,Opioid,4.1
Vancouver Coastal,84BMHVM3KZ4U,2022-04-27,Insite,Vancouver,Fentanyl,Opioid,11.3
Vancouver Coastal,Q7C44MD77PWX,2022-04-27,Insite,Vancouver,Fentanyl,Opioid,19.1
Vancouver Coastal,V8949FZDWFAK,2022-04-27,Insite,Vancouver,Fentanyl,Opioid,55.4
Vancouver Coastal,TJECN64MX9CQ,2022-04-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,14.4
Vancouver Coastal,CVV7DAVGZVRQ,2022-04-26,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,43.4
Vancouver Coastal,ENCGK4WU7ZUU,2022-04-26,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,9.8
Vancouver Coastal,MWJ6FGJ3BX2D,2022-04-26,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,30.7
Vancouver Coastal,Z8UBDAG8P8WN,2022-04-26,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,34.1
Vancouver Coastal,MPY3VRY7C74X,2022-04-26,Insite,Vancouver,Fentanyl,Opioid,12.0
Vancouver Coastal,8WTWRBEABEV2,2022-04-26,Insite,Vancouver,Fentanyl,Opioid,9.7
Vancouver Coastal,VHG3KVPBR2D4,2022-04-25,Get Your Drugs Tested,Vancouver,Heroin,Opioid,28.4
Vancouver Coastal,DAC3E3K2UF6D,2022-04-25,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,71.2
Vancouver Coastal,FRDU8M8TKUGJ,2022-04-25,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,69.6
Vancouver Coastal,D9QZWUCNXWQU,2022-04-25,Insite,Vancouver,Fentanyl,Opioid,14.7
Vancouver Coastal,DTPDZKM8GBX4,2022-04-25,Insite,Vancouver,Fentanyl,Opioid,11.4
Vancouver Coastal,FNHTUZGCCXR9,2022-04-25,Insite,Vancouver,Fentanyl,Opioid,17.2
Vancouver Coastal,Q7EJ6KBWPMJU,2022-04-25,Insite,Vancouver,Fentanyl,Opioid,30.7
Vancouver Coastal,GNUXGT7N4Z6G,2022-04-25,Insite,Vancouver,Fentanyl,Opioid,16.8
Vancouver Coastal,RG8KP8MGN3RQ,2022-04-25,Insite,Vancouver,Fentanyl,Opioid,11.5
Vancouver Coastal,9XUU78JHZPH3,2022-04-25,Insite,Vancouver,Fentanyl,Opioid,19.9
Vancouver Coastal,77YZV8UYM4J6,2022-04-24,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,41.2
Vancouver Coastal,7P2V2VP6AQZF,2022-04-24,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,23.8
Vancouver Coastal,DR6EGABDVXRK,2022-04-24,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,16.3
Fraser Health,GRPACCF8CR64,2022-04-24,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,17.1
Vancouver Coastal,GVJQYRZX2MYK,2022-04-23,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,73.3
Vancouver Coastal,KPCKQTXP96WT,2022-04-23,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,64.8
Vancouver Coastal,J8HKYYD67ZP4,2022-04-22,Insite,Vancouver,Fentanyl,Opioid,12.0
Vancouver Coastal,CY79282CCHKG,2022-04-22,Insite,Vancouver,Fentanyl,Opioid,11.6
Vancouver Coastal,NR39M638YHV9,2022-04-22,Insite,Vancouver,Fentanyl,Opioid,9.5
Island Health,P4RPJPF3T3YN,2022-04-22,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,10.7
Vancouver Coastal,FEJUMHP3UUYM,2022-04-22,Insite,Vancouver,Fentanyl,Opioid,8.3
Vancouver Coastal,GYFN2VF3UPTX,2022-04-22,Insite,Vancouver,Fentanyl,Opioid,18.8
Vancouver Coastal,C3QNFQM98PNQ,2022-04-22,Insite,Vancouver,Fentanyl,Opioid,13.3
