Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Fraser Health,QW8RZVN7CVCA,2024-08-26,Fraser Canyon Clinic (Hope),Hope,Down (Unknown Opioid),Opioid,57.7
Fraser Health,XR3ZFRGW7RP3,2024-08-26,Fraser Canyon Clinic (Hope),Hope,Down (Unknown Opioid),Opioid,27.1
Fraser Health,2QGKNX87QA4C,2024-08-27,3030 Gordon,Coquitlam,Down (Unknown Opioid),Opioid,29.8
Fraser Health,MA66WRG2C67P,2024-08-27,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,25.1
Fraser Health,YCPFPBP666M3,2024-08-23,Phoenix Society The Hub,Abbotsford,Down (Unknown Opioid),Opioid,14.1
Fraser Health,M7C6QWAZGG4E,2024-08-23,3030 Gordon,Coquitlam,Down (Unknown Opioid),Opioid,37.5
Fraser Health,6DX66JRC7RH6,2024-08-23,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,23.0
Fraser Health,PV747MEPWQFD,2024-08-24,PCRS Wellness Centre,Chilliwack,Down (Unknown Opioid),Opioid,14.1
Vancouver Coastal,R9J4AXTD9V94,2024-08-24,Community Resource Centre,Powell River,Fentanyl,Opioid,20.7
Vancouver Coastal,MY3HBNVNMC67,2024-08-23,Insite,Vancouver,Down (Unknown Opioid),Opioid,18.6
Fraser Health,6XEGGWPGJ8Y8,2024-08-26,Fraser Canyon Clinic (Hope),Hope,Down (Unknown Opioid),Opioid,58.1
Interior Health,PVM26R242467,2024-08-23,Burdock House (Penticton),Penticton,Down (Unknown Opioid),Opioid,17.8
Fraser Health,99384HVPRGVM,2024-08-23,Outreach Hub,Burnaby,Heroin,Opioid,15.8
Vancouver Coastal,YU894K3C47QN,2024-08-23,Insite,Vancouver,Down (Unknown Opioid),Opioid,23.0
Fraser Health,9ZDBPV7JZXHD,2024-08-23,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,41.1
Fraser Health,URJYDAV47X69,2024-08-23,Phoenix Society The Hub,Abbotsford,Down (Unknown Opioid),Opioid,8.2
