Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Fraser Health,WBA7PDTNY46T,2023-12-29,3030 Gordon,Coquitlam,Down (Unknown Opioid),Opioid,39.2
Fraser Health,DCMZTKE22JBU,2023-12-29,3030 Gordon,Coquitlam,Down (Unknown Opioid),Opioid,49.0
Fraser Health,W8Z4W27EQA9W,2023-12-29,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,17.9
Fraser Health,8GPCAREWNVMY,2023-12-29,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,16.1
Interior Health,AXVFZH2ENXHF,2023-12-27,Outreach Urban Health,Kelowna,Down (Unknown Opioid),Opioid,11.7
Fraser Health,3WDCPWMEN6HK,2023-12-27,SafePoint,Surrey,Down (Unknown Opioid),Opioid,16.7
Vancouver Coastal,3A3Q7FJ7QNHP,2023-12-27,Insite,Vancouver,Fentanyl,Opioid,57.6
Vancouver Coastal,4TGB24EMEBNM,2023-12-27,Insite,Vancouver,Down (Unknown Opioid),Opioid,27.9
Vancouver Coastal,MA9YYVDKKR87,2023-12-28,Insite,Vancouver,Down (Unknown Opioid),Opioid,24.0
Vancouver Coastal,YFW37YMYK67M,2023-12-28,Insite,Vancouver,Down (Unknown Opioid),Opioid,14.4
Fraser Health,DPHD3CF4KEFN,2023-12-29,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,20.8
Fraser Health,YVK2FPZXEGJ9,2023-12-22,Foxglove Housing,Surrey,Fentanyl,Opioid,59.4
Fraser Health,V3WBYYAJN3WM,2023-12-19,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,19.5
Fraser Health,A8GQZCWHJX8T,2023-12-19,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,22.3
Fraser Health,2QZ9P7PX7KDU,2023-12-20,SafePoint,Surrey,Down (Unknown Opioid),Opioid,14.1
Fraser Health,ZMCF2276CPKW,2023-12-20,SafePoint,Surrey,Down (Unknown Opioid),Opioid,14.1
Interior Health,Q79WPRNH66P6,2023-12-21,Medicine Shoppe Pharmacy,Vernon,Fentanyl,Opioid,20.3
Island Health,4D6ZFH8XZK4Q,2023-12-15,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,61.0
Fraser Health,279D3EC8WNED,2023-12-15,Foxglove Housing,Surrey,Fentanyl,Opioid,63.8
Fraser Health,9RVC4X9XEPBY,2023-12-15,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,19.4
Fraser Health,RFDPMH8Q8PCZ,2023-12-15,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,21.4
Fraser Health,V242V2ND2MMM,2023-12-19,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,14.1
Fraser Health,38622KEHZMB4,2023-12-19,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,18.2
Fraser Health,2JQ2N8VAB64T,2023-12-19,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,17.8
Fraser Health,B7U6FQUNA6NK,2023-12-08,3030 Gordon,Coquitlam,Down (Unknown Opioid),Opioid,35.9
