Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Vancouver Coastal,M7J9KUCZ3A4Y,2022-02-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,19.7
Vancouver Coastal,BCEPHGXQCQC2,2022-02-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,10.2
Vancouver Coastal,CMGYAU926GUW,2022-02-28,Overdose Prevention Society,Vancouver,Fentanyl,Opioid,58.8
Vancouver Coastal,WAPAVWUZAUGA,2022-02-28,Overdose Prevention Society,Vancouver,Fentanyl,Opioid,5.6
Vancouver Coastal,EADP3MGBF6AX,2022-02-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,11.3
Vancouver Coastal,GVU93FK28ZZE,2022-02-28,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,72.5
Vancouver Coastal,TVP99QE9DW9H,2022-02-28,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,42.9
Vancouver Coastal,2Q6YMJJ9BNHV,2022-02-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,12.3
Vancouver Coastal,D3JX7QV2TCHF,2022-02-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,15.4
Vancouver Coastal,MBTKMPNGJKW7,2022-02-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,12.0
Vancouver Coastal,UDBMUDPBJ4QB,2022-02-28,Overdose Prevention Society,Vancouver,Fentanyl,Opioid,10.8
Vancouver Coastal,3XFCCDXZFF6J,2022-02-28,Overdose Prevention Society,Vancouver,Fentanyl,Opioid,7.3
Vancouver Coastal,DT4M49J9DKPV,2022-02-28,Overdose Prevention Society,Vancouver,Fentanyl,Opioid,18.9
Vancouver Coastal,VEQ6G2D7G6YD,2022-02-28,Overdose Prevention Society,Vancouver,Fentanyl,Opioid,7.9
Vancouver Coastal,KY34E8TUP26C,2022-02-27,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,54.4
Vancouver Coastal,9B3DR4HCWYTU,2022-02-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,30.5
Vancouver Coastal,PWHVW7FT8ZMP,2022-02-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,18.3
Vancouver Coastal,MTWPT4Z39EBX,2022-02-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,11.1
Vancouver Coastal,BMP4JHPJVNZQ,2022-02-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,13.6
Vancouver Coastal,EZF248UJKJXE,2022-02-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,19.3
Vancouver Coastal,D38AZW6RQZQK,2022-02-26,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,22.2
Vancouver Coastal,HMYMMZ4XMKMW,2022-02-26,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,15.5
Vancouver Coastal,RCAF46WGQQTE,2022-02-25,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,5.6
Vancouver Coastal,G8AFVR87J47H,2022-02-25,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,15.0
Vancouver Coastal,RVD4FPM976FD,2022-02-25,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,13.8
Vancouver Coastal,QJGYPE7Y8TZ6,2022-02-25,Insite,Vancouver,Fentanyl,Opioid,9.6
Island Health,3UP32AM37JA4,2022-02-25,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,6.8
Island Health,KG486R7ZYQ6W,2022-02-25,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,9.7
Island Health,NHN782Y6MMNR,2022-02-25,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,6.2
Island Health,U3RXMV4FXNDU,2022-02-25,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,15.1
Island Health,UYXYJ2D8UGF7,2022-02-25,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,17.1
Vancouver Coastal,PW7Q4RNAFTY2,2022-02-25,Get Your Drugs Tested,Vancouver,Heroin,Opioid,68.1
Vancouver Coastal,EMGF4937BVB9,2022-02-25,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,65.0
Vancouver Coastal,WJ2XKYMZQQC6,2022-02-25,Insite,Vancouver,Fentanyl and Heroin,Opioid,31.1
Island Health,VVCUVDGGEYHT,2022-02-25,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,8.3
Vancouver Coastal,8AXDTQNHFVX4,2022-02-24,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,14.2
Vancouver Coastal,WXHJJKKCZ2K3,2022-02-24,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,9.8
