Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Interior Health,3QMN7MDW3BMJ,2023-01-31,ANKORS (Cranbrook),Cranbrook,Down (Unknown Opioid),Opioid,17.9
Interior Health,W9NZWRUYBYDH,2023-01-31,Fairhaven,Penticton,Fentanyl,Opioid,12.2
Vancouver Coastal,A4M37QWCQX4G,2023-01-31,Insite,Vancouver,Fentanyl,Opioid,3.6
Vancouver Coastal,N3MHJKC8F7UF,2023-01-31,Insite,Vancouver,Fentanyl,Opioid,17.9
Island Health,3B374PP2W7YU,2023-01-31,CMHA,Nanaimo,Fentanyl,Opioid,68.3
Interior Health,27TWAX27EZC8,2023-01-31,Fairhaven,Penticton,Down (Unknown Opioid),Opioid,13.2
Interior Health,GJMCP3A86RHN,2023-01-31,Cammy LaFleur Outreach (Vernon),Vernon,Down (Unknown Opioid),Opioid,15.3
Interior Health,J8W8CG2XJHNX,2023-01-31,Cammy LaFleur Outreach (Vernon),Vernon,Down (Unknown Opioid),Opioid,16.8
Island Health,4CRFURWG3BAE,2023-01-31,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,18.8
Interior Health,PNA9RQCRKYCY,2023-01-31,Vernon MHSU,Vernon,Fentanyl,Opioid,12.7
Interior Health,6JNFWFQNANY2,2023-01-31,Cammy LaFleur Outreach (Vernon),Vernon,Down (Unknown Opioid),Opioid,22.2
Interior Health,NF83UTUHX3V3,2023-01-31,ANKORS (Cranbrook),Cranbrook,Down (Unknown Opioid),Opioid,14.0
Northern Health,ZQGAGNZM84J6,2023-01-31,Northwest ICMT,Terrace,Down (Unknown Opioid),Opioid,11.9
Vancouver Coastal,42AN2AZZ7N78,2023-01-31,Insite,Vancouver,Fentanyl,Opioid,29.9
Vancouver Coastal,P984TG4RM744,2023-01-31,Insite,Vancouver,Fentanyl,Opioid,2.1
Vancouver Coastal,CTP2CZRAFMC9,2023-01-31,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,15.8
Vancouver Coastal,7ZJCJ8ZW8EH8,2023-01-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,19.8
Vancouver Coastal,T2QNU2Z9PZV8,2023-01-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,22.4
Vancouver Coastal,M9D33T4QM3N9,2023-01-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,30.5
Vancouver Coastal,PTYT4RWF3AVG,2023-01-30,Insite,Vancouver,Fentanyl,Opioid,14.8
Island Health,ZV6FDFFEUZW2,2023-01-30,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,21.8
Vancouver Coastal,37MN4PDKR97D,2023-01-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,31.0
Fraser Health,CPKZYNCJDJEF,2023-01-30,Public Health Unit Chilliwack,Chilliwack,Fentanyl,Opioid,67.0
Vancouver Coastal,TRB9WHEFZX7A,2023-01-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,10.4
Vancouver Coastal,UXPNYN49UJ43,2023-01-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,18.5
Vancouver Coastal,CD3Q9DVARWMD,2023-01-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,23.9
Vancouver Coastal,Q8FN9B29UQR6,2023-01-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,22.8
