Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Vancouver Coastal,ZETEYNG3XF6T,2024-07-27,Community Resource Centre,Powell River,Fentanyl,Opioid,23.3
Island Health,M9KJ8CNWZREX,2024-07-31,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,10.1
Fraser Health,FFWAP2JJYRYM,2024-07-30,3030 Gordon,Coquitlam,Down (Unknown Opioid),Opioid,50.1
Fraser Health,WNUKM3TDV2GN,2024-07-24,SafePoint,Surrey,Down (Unknown Opioid),Opioid,32.3
Fraser Health,NMFAAXEB29H2,2024-07-24,Lookout Society Red Lion,Abbotsford,Down (Unknown Opioid),Opioid,16.1
Vancouver Coastal,ZPEA8F62P72P,2024-07-26,Community Resource Centre,Powell River,Fentanyl,Opioid,14.2
Fraser Health,3PY6DQR7NNAY,2024-07-22,Purpose Society,New Westminster,Fentanyl,Opioid,64.1
Fraser Health,TQU66NTBVWGZ,2024-07-23,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,19.7
Island Health,3ZGM9EZMX9KT,2024-07-23,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,11.8
Vancouver Coastal,BNX4TNBRQBJ6,2024-07-23,Insite,Vancouver,Down (Unknown Opioid),Opioid,10.7
Fraser Health,NPN698ZXJH4U,2024-07-23,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,18.9
Vancouver Coastal,6H73V9EEETZ2,2024-07-18,Insite,Vancouver,Fentanyl,Opioid,16.9
Interior Health,RFYDY7Y6PPDD,2024-07-18,Compass House (Penticton),Penticton,Down (Unknown Opioid),Opioid,24.2
Interior Health,X393Z9C6QQW2,2024-07-18,Compass House (Penticton),Penticton,Down (Unknown Opioid),Opioid,22.5
Interior Health,AP6T2KJZVZ7T,2024-07-18,Compass House (Penticton),Penticton,Down (Unknown Opioid),Opioid,22.1
Fraser Health,VY7AJWFHEZTF,2024-07-19,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,21.1
Fraser Health,ZRX8Y9XNVJAC,2024-07-12,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,8.9
Fraser Health,8A8WVNTA9YAM,2024-07-12,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,23.0
Vancouver Coastal,HGA8BHKQ6HAJ,2024-07-15,Community Resource Centre,Powell River,Fentanyl,Opioid,25.6
Vancouver Coastal,TG8VKVYNY4VG,2024-07-16,Community Resource Centre,Powell River,Fentanyl,Opioid,23.8
Vancouver Coastal,GP7P73T3BBKT,2024-07-15,Sechelt Hospital MHSU 2,Powell River,Down (Unknown Opioid),Opioid,19.2
Island Health,6DW7WB79QKA6,2024-07-17,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,61.0
Interior Health,QZPDNF6X6CZP,2024-07-09,ANKORS (Cranbrook),Cranbrook,Down (Unknown Opioid),Opioid,42.3
Fraser Health,6E2ZN99CZCAM,2024-07-10,SafePoint,Surrey,Down (Unknown Opioid),Opioid,22.9
