Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Island Health,YZH6NFHD9QBB,2023-06-04,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,16.1
Island Health,3JHK78W4ET7G,2023-06-03,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,5.7
Vancouver Coastal,KKV3BEBFPNKK,2023-06-02,Insite,Vancouver,Fentanyl,Opioid,14.3
Island Health,9PDDD2AZECP4,2023-06-07,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,8.2
Island Health,TAVPCV9CB4B6,2023-06-07,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,4.3
Fraser Health,9C8VZYAQ7JKY,2023-06-07,Ruth and Naomi's (Chilliwack),Chilliwack,Down (Unknown Opioid),Opioid,6.1
Vancouver Coastal,UQCTU9GR3PD6,2023-06-29,Overdose Prevention Society,Vancouver,Fentanyl,Opioid,17.6
Fraser Health,3DCBDQRV34CR,2023-06-28,PCRS Wellness Centre,Chilliwack,Down (Unknown Opioid),Opioid,26.8
Fraser Health,94YWGKPKW44K,2023-06-28,SafePoint,Surrey,Down (Unknown Opioid),Opioid,10.6
Fraser Health,39C92D9BT9XQ,2023-06-28,PCRS Wellness Centre,Chilliwack,Down (Unknown Opioid),Opioid,18.2
Vancouver Coastal,3MZ2YPEE3WEB,2023-06-27,Insite,Vancouver,Fentanyl,Opioid,12.6
Vancouver Coastal,MYZG8EQRTRR3,2023-06-27,Insite,Vancouver,Fentanyl,Opioid,15.6
Vancouver Coastal,7YPQGUZWZ84N,2023-06-27,Insite,Vancouver,Fentanyl,Opioid,14.5
Vancouver Coastal,7XVMCKB2MDFT,2023-06-27,Insite,Vancouver,Fentanyl,Opioid,8.1
Interior Health,NP9RPUXZHQMY,2023-06-26,Burdock House (Penticton),Penticton,Fentanyl,Opioid,43.5
Vancouver Coastal,QZPV3KRVBM76,2023-06-26,Insite,Vancouver,Fentanyl,Opioid,24.0
Vancouver Coastal,ZTMUKRJNQ3V2,2023-06-26,Insite,Vancouver,Fentanyl,Opioid,26.7
Island Health,27WWHWHCQVHH,2023-06-23,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,3.1
Vancouver Coastal,ZQK87NAGAQ9Z,2023-06-22,Insite,Vancouver,Fentanyl,Opioid,10.3
