Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Fraser Health,HWAXWN3KNVH6,2024-05-28,Foxglove Housing,Surrey,Fentanyl,Opioid,21.9
Interior Health,HMPEXHEHVQTZ,2024-05-29,ANKORS Mobile (Trail),Trail,Down (Unknown Opioid),Opioid,15.3
Vancouver Coastal,PWMMGHPB2KEP,2024-05-29,Insite,Vancouver,Down (Unknown Opioid),Opioid,13.8
Interior Health,FZZQCZTZRKNH,2024-05-30,ANKORS (Nelson),Nelson,Down (Unknown Opioid),Opioid,11.7
Fraser Health,HH8W2YK6R7H6,2024-05-31,Phoenix Society The Hub,Abbotsford,Down (Unknown Opioid),Opioid,13.8
Vancouver Coastal,433KMMA3R3AX,2024-05-24,Insite,Vancouver,Down (Unknown Opioid),Opioid,13.2
Vancouver Coastal,B93A4D9EEBNG,2024-05-24,Insite,Vancouver,Down (Unknown Opioid),Opioid,15.9
Interior Health,G6XH6FXMVDZM,2024-05-25,Living Positive Resource Centre,Kelowna,Down (Unknown Opioid),Opioid,15.4
Fraser Health,UW24UGC7X789,2024-05-27,Purpose Society,New Westminster,Fentanyl,Opioid,14.7
Fraser Health,BRWVWCKWCTBM,2024-05-28,Foxglove Housing,Surrey,Fentanyl,Opioid,23.9
Fraser Health,Z4648CB3ARVC,2024-05-28,Foxglove Housing,Surrey,Fentanyl,Opioid,22.7
Fraser Health,DZWR7VBWKBPH,2024-05-24,3030 Gordon,Coquitlam,Down (Unknown Opioid),Opioid,32.9
Island Health,G7T2WKJMWXEP,2024-05-24,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,20.4
Island Health,HBN8WTY6GHMT,2024-05-24,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,18.2
Fraser Health,A77GEWM8A8ZZ,2024-05-24,Foxglove Housing,Surrey,Fentanyl,Opioid,67.5
Fraser Health,Q2W4TYZVUTTT,2024-05-24,Foxglove Housing,Surrey,Fentanyl,Opioid,68.6
Vancouver Coastal,VNRXJ4F3M6PU,2024-05-24,Insite,Vancouver,Down (Unknown Opioid),Opioid,12.8
Vancouver Coastal,YJUYH83UXM9X,2024-05-24,Insite,Vancouver,Down (Unknown Opioid),Opioid,18.2
Vancouver Coastal,6W8TCKABT6QX,2024-05-21,Insite,Vancouver,Down (Unknown Opioid),Opioid,38.2
Interior Health,HYGMBXHT3TV4,2024-05-21,ANKORS (Grand Forks),Grand Forks,Down (Unknown Opioid),Opioid,18.1
Vancouver Coastal,R9B9ZRT8EVT4,2024-05-21,Insite,Vancouver,Down (Unknown Opioid),Opioid,20.0
Island Health,JEAE6XCKVEFF,2024-05-21,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,8.2
Fraser Health,4X78TEDFXZQ2,2024-05-21,Foxglove Housing,Surrey,Fentanyl,Opioid,21.6
Island Health,H7ET3H6VB2CJ,2024-05-23,CMHA (Albert St.),Nanaimo,Fentanyl,Opioid,25.7
Island Health,9W4RFGGME4R8,2024-05-23,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,21.2
Interior Health,MEU2C488TRM9,2024-05-17,Fairhaven,Penticton,Down (Unknown Opioid),Opioid,23.4
Interior Health,BPZB8HHJT3TH,2024-05-21,ANKORS (Grand Forks),Grand Forks,Down (Unknown Opioid),Opioid,11.9
Interior Health,TAD9XX7WTRRX,2024-05-17,Fairhaven,Penticton,Down (Unknown Opioid),Opioid,23.2
Fraser Health,YN377YZYC7M4,2024-05-17,Foxglove Housing,Surrey,Fentanyl,Opioid,63.0
Fraser Health,CJ2GHEDPVWPG,2024-05-15,PCRS Wellness Centre,Chilliwack,Fentanyl,Opioid,34.5
Vancouver Coastal,CD87XAMUTJVG,2024-05-15,Insite,Vancouver,Down (Unknown Opioid),Opioid,19.9
Vancouver Coastal,HQAHQTTPMHGV,2024-05-16,Insite,Vancouver,Down (Unknown Opioid),Opioid,33.8
Vancouver Coastal,3ZZ7TTAERB7C,2024-05-08,Insite,Vancouver,Down (Unknown Opioid),Opioid,19.9
Fraser Health,GATTHJCCKB4K,2024-05-10,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,14.0
Vancouver Coastal,ZCZYP8VNWDEM,2024-05-14,Insite,Vancouver,Down (Unknown Opioid),Opioid,13.6
Vancouver Coastal,YBHX63GYR2JB,2024-05-15,Insite,Vancouver,Down (Unknown Opioid),Opioid,13.4
Vancouver Coastal,BAPG6WREWPT6,2024-05-14,Insite,Vancouver,Down (Unknown Opioid),Opioid,7.8
Fraser Health,Q2FTQ66H7NM2,2024-05-15,SafePoint,Surrey,Down (Unknown Opioid),Opioid,25.9
Vancouver Coastal,97MD9HC2U7BP,2024-05-15,Insite,Vancouver,Down (Unknown Opioid),Opioid,20.8
Vancouver Coastal,MWQP8YKP69KY,2024-05-03,Insite,Vancouver,Down (Unknown Opioid),Opioid,24.5
Fraser Health,YTPRYCNY7APM,2024-05-03,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,19.2
Fraser Health,T2J82CEQVR4M,2024-05-07,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,21.3
Vancouver Coastal,7BKWWXP78B4K,2024-05-07,Insite,Vancouver,Down (Unknown Opioid),Opioid,5.9
Fraser Health,3TWTYQA9QTWZ,2024-05-01,SafePoint,Surrey,Down (Unknown Opioid),Opioid,19.4
Vancouver Coastal,XEE4YF4XQ4AM,2024-05-01,Insite,Vancouver,Down (Unknown Opioid),Opioid,8.0
Northern Health,NY8KVDRCVGAD,2024-05-02,POUNDS,Prince George,Down (Unknown Opioid),Opioid,21.0
Island Health,MP4QRUUEBUCY,2024-05-31,CMHA (Albert St.),Nanaimo,Fentanyl,Opioid,7.3
Island Health,C3M6GTZ6TRJA,2024-05-20,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,38.2
Fraser Health,FJ4VW2FCTTD6,2024-05-10,Outreach Hub,Burnaby,Fentanyl,Opioid,30.4
Vancouver Coastal,6PQ9DNUF4DDJ,2024-05-29,Community Resource Centre,Powell River,Fentanyl,Opioid,21.3
Vancouver Coastal,D74DJ4HGRZ3E,2024-05-28,Community Resource Centre,Powell River,Fentanyl,Opioid,25.4
Interior Health,9J97TGDNE4G6,2024-05-29,ANKORS Mobile (Trail),Trail,Down (Unknown Opioid),Opioid,15.2
Northern Health,P6F7K9TDD4KD,2024-05-29,POUNDS,Prince George,Down (Unknown Opioid),Opioid,21.3
Interior Health,86TQRNC2AR3Z,2024-05-27,ANKORS (Nelson),Nelson,Down (Unknown Opioid),Opioid,13.4
Fraser Health,PJGZHYEHVA4U,2024-05-24,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,26.1
Vancouver Coastal,2BGE3FMGFRFV,2024-05-23,Insite,Vancouver,Down (Unknown Opioid),Opioid,18.9
Island Health,ZJNN9U98GYNN,2024-05-24,CMHA (Albert St.),Nanaimo,Down (Unknown Opioid),Opioid,15.0
Vancouver Coastal,MG4F2QRHHDFF,2024-05-24,Insite,Vancouver,Down (Unknown Opioid),Opioid,8.4
Vancouver Coastal,DJHVKMDMTZX2,2024-05-21,Insite,Vancouver,Down (Unknown Opioid),Opioid,17.2
Interior Health,6VRJ46F7G9FN,2024-05-21,ANKORS (Grand Forks),Grand Forks,Down (Unknown Opioid),Opioid,15.9
Fraser Health,QJ4Q4YM6UYRJ,2024-05-17,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,12.8
Fraser Health,BFB262CGXXC4,2024-05-17,Phoenix Society The Hub,Abbotsford,Down (Unknown Opioid),Opioid,59.0
Fraser Health,WX47YEMWXEKW,2024-05-17,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,14.0
Vancouver Coastal,PACUJHGUDUZ3,2024-05-17,Insite,Vancouver,Down (Unknown Opioid),Opioid,11.4
Vancouver Coastal,U4RQ4UHWUUCH,2024-05-17,Squamish OPS,Squamish,Fentanyl,Opioid,23.3
Vancouver Coastal,WDD6HB7ERVYU,2024-05-10,GYDT (West),Vancouver,Down (Unknown Opioid),Opioid,24.4
Vancouver Coastal,8M7Z7AP2GGY2,2024-05-07,Insite,Vancouver,Down (Unknown Opioid),Opioid,12.1
Northern Health,ZJGK27R8T28T,2024-05-04,POUNDS,Prince George,Down (Unknown Opioid),Opioid,18.9
Fraser Health,9UQJKQYB8NBH,2024-05-05,MCS The Haven,Mission,Down (Unknown Opioid),Opioid,15.0
Interior Health,VGQPN4DCMMXN,2024-05-07,ANKORS (Grand Forks),Grand Forks,Down (Unknown Opioid),Opioid,13.9
Interior Health,BUNUG39EX3TN,2024-05-02,ANKORS (Nelson),Nelson,Down (Unknown Opioid),Opioid,14.5
Island Health,AMWF3CPGZVRA,2024-05-31,CMHA (Albert St.),Nanaimo,Fentanyl,Opioid,7.6
Vancouver Coastal,4Q4ATWFUFGTZ,2024-05-17,Community Resource Centre,Powell River,Fentanyl,Opioid,10.4
Vancouver Coastal,P6RAU4RXG6RB,2024-05-19,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,17.7
Vancouver Coastal,6KCBDJME4ZND,2024-05-17,Insite,Vancouver,Down (Unknown Opioid),Opioid,4.8
Interior Health,K97ZRKRQ322N,2024-05-02,ANKORS (Nelson),Nelson,Down (Unknown Opioid),Opioid,14.0
Fraser Health,HPTQ9DJMJ88Y,2024-05-03,Phoenix Society The Hub,Abbotsford,Down (Unknown Opioid),Opioid,27.5
Vancouver Coastal,WC3JR2MUW383,2024-05-06,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,26.0
Interior Health,FEQG8D7YUNYN,2024-05-07,ANKORS (Grand Forks),Grand Forks,Down (Unknown Opioid),Opioid,17.2
Vancouver Coastal,YQQQK9B3MKVD,2024-05-08,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,18.5
Interior Health,KYJ4249HX3KD,2024-05-15,ANKORS Mobile (Trail),Trail,Down (Unknown Opioid),Opioid,15.0
Vancouver Coastal,F6Y7CCPEBCZ2,2024-05-13,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,20.4
Island Health,R3QBPQEM4PWK,2024-05-31,CMHA (Albert St.),Nanaimo,Fentanyl,Opioid,9.1
Vancouver Coastal,W4YC3MAH7E68,2024-05-29,Insite,Vancouver,Down (Unknown Opioid),Opioid,28.7
Fraser Health,PB9CYPXWK7H4,2024-05-24,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,10.8
Vancouver Coastal,43RGB9X6M2ME,2024-05-01,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,8.9
Vancouver Coastal,UT72GHDW68AG,2024-05-02,Insite,Vancouver,Down (Unknown Opioid),Opioid,66.0
Vancouver Coastal,FXGUDQBVYNGR,2024-05-02,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,26.4
Vancouver Coastal,HZMJQFMZAB23,2024-05-02,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,35.9
Fraser Health,QHUAC42QGBXU,2024-05-03,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,20.0
Vancouver Coastal,XPDQZ7BBQ2AJ,2024-05-04,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,22.0
Vancouver Coastal,HTNRW2ZUXBVN,2024-05-06,Insite,Vancouver,Down (Unknown Opioid),Opioid,23.2
Vancouver Coastal,DR2J9M342D2X,2024-05-06,Insite,Vancouver,Down (Unknown Opioid),Opioid,8.5
Fraser Health,YRM7UAUP4ZFH,2024-05-07,Food for the Soul,Maple Ridge,Down (Unknown Opioid),Opioid,41.9
Vancouver Coastal,FZ87EU2Y4XXV,2024-05-08,GYDT (West),Vancouver,Down (Unknown Opioid),Opioid,66.0
Vancouver Coastal,CYYWZTZFZND3,2024-05-10,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,6.6
Vancouver Coastal,ANE2V4F2NHQR,2024-05-10,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,25.3
