Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Vancouver Coastal,QH2GVRDQM4BU,2023-03-31,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,17.4
Island Health,3XUU36W7MY9P,2023-03-31,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,9.4
Island Health,4T2BAEHUWWK7,2023-03-31,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,20.3
Island Health,TBPGZKT4RUTG,2023-03-31,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,3.9
Fraser Health,V8CA6XB3R62Q,2023-03-31,PeacePoint,White Rock,Down (Unknown Opioid),Opioid,12.8
Interior Health,DDTKRK2YZY9R,2023-03-31,P+OPS Mobile (Penticton),Penticton,Fentanyl,Opioid,18.4
Island Health,BMH6G2ZP74RX,2023-03-31,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,3.7
Island Health,MB7H9C9A8BU4,2023-03-31,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,11.1
Vancouver Coastal,9YBUKRRZ8Q3X,2023-03-31,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,26.0
Fraser Health,PNT4FPDRRNBC,2023-03-31,The Hub,Abbotsford,Down (Unknown Opioid),Opioid,47.6
Vancouver Coastal,TPAY9GAMY8HW,2023-03-31,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,19.0
Island Health,3G7WKC3R2HED,2023-03-31,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,11.4
Fraser Health,2M6QJPVVKCYN,2023-03-31,The Hub,Abbotsford,Down (Unknown Opioid),Opioid,19.1
Fraser Health,E32EQHNB27UN,2023-03-31,The Hub,Abbotsford,Down (Unknown Opioid),Opioid,45.5
Fraser Health,KD348CUGFXTJ,2023-03-31,The Hub,Abbotsford,Down (Unknown Opioid),Opioid,6.7
Fraser Health,MMUQF2MECEUE,2023-03-31,The Hub,Abbotsford,Down (Unknown Opioid),Opioid,45.2
Island Health,76HQENYBXP8A,2023-03-31,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,6.6
Island Health,BKF7CVCJQGD6,2023-03-31,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,12.7
Island Health,CV4UFD7KYXR9,2023-03-31,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,10.8
Island Health,HVPTH8BGCF8K,2023-03-31,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,13.7
Island Health,XDWYQFXN8Y9B,2023-03-31,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,22.1
Vancouver Coastal,7RUVANQX9DYA,2023-03-30,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,55.4
Fraser Health,C3MBWHEBC2AP,2023-03-30,Outreach Hub,Burnaby,Down (Unknown Opioid),Opioid,26.4
Vancouver Coastal,7RVUBYZR3EXA,2023-03-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,68.9
Vancouver Coastal,3DKU2G8XWXKH,2023-03-30,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,57.4
Island Health,UBFRUNEQ3HXV,2023-03-30,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,26.6
Vancouver Coastal,HX33KG9ZR3TD,2023-03-30,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,65.0
Interior Health,XDAG3P63QTA7,2023-03-30,ANKORS (Nelson),Nelson,Fentanyl,Opioid,6.8
Vancouver Coastal,BQX64R2X8ZFQ,2023-03-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,66.1
Island Health,RNWCV2J8A9AM,2023-03-30,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,8.6
