Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Interior Health,4GMHVFNY943X,2022-05-31,ANKORS (Grand Forks),Grand Forks,Fentanyl,Opioid,14.9
Vancouver Coastal,9WM73YBTH7TX,2022-05-31,Insite,Vancouver,Fentanyl,Opioid,9.3
Vancouver Coastal,WZ9ZN8J7C9CN,2022-05-31,Insite,Vancouver,Fentanyl,Opioid,9.8
Vancouver Coastal,4R6J62DC6FRW,2022-05-31,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,14.5
Vancouver Coastal,7PCVPPM39783,2022-05-31,Get Your Drugs Tested,Vancouver,Heroin,Opioid,18.6
Vancouver Coastal,YR8TMBJJTV2D,2022-05-31,Insite,Vancouver,Fentanyl,Opioid,12.5
Interior Health,EJ9GQRWXXGRQ,2022-05-31,ASK Wellness (433 Tranquille),Kamloops,Fentanyl,Opioid,30.4
Vancouver Coastal,QAGJUBPXXGRG,2022-05-30,Insite,Vancouver,Fentanyl,Opioid,60.3
Vancouver Coastal,MEB3CY69CNCF,2022-05-30,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,73.1
Interior Health,3R7NN93HEUK6,2022-05-30,The Hub,Nelson,Fentanyl,Opioid,11.9
Vancouver Coastal,9FPEF2PQJXA9,2022-05-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,14.6
Vancouver Coastal,CXHBYKXAHCH7,2022-05-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,15.7
Interior Health,QWUFHA3HDJPE,2022-05-30,ANKORS Mobile (Trail),Trail,Fentanyl,Opioid,18.2
Vancouver Coastal,W2ZTR3DN3AXH,2022-05-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,23.3
Vancouver Coastal,YWB94CW8XMFW,2022-05-29,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,65.3
Vancouver Coastal,27E89QMXPDEU,2022-05-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,13.7
Vancouver Coastal,3HR8HW69V6QB,2022-05-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,14.7
Vancouver Coastal,PM6FQ84PFZG8,2022-05-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,13.2
Vancouver Coastal,JW6RK8UPUYE7,2022-05-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,14.1
Vancouver Coastal,X7AGZW6CYTMN,2022-05-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,17.6
Vancouver Coastal,8PT8MCHRVJ9H,2022-05-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,27.0
Vancouver Coastal,MWYY8EZEQ67H,2022-05-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,35.3
Vancouver Coastal,BCF9YZYV79B7,2022-05-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,21.1
Vancouver Coastal,KBMGJYTURPQ2,2022-05-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,11.0
Fraser Health,9VCMEKVKHUYM,2022-05-29,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,21.4
Fraser Health,TF43MA8DAKYA,2022-05-29,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,21.7
Fraser Health,VGN2PDCPPXNB,2022-05-29,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,16.6
Fraser Health,M62XUXHZWZVP,2022-05-29,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,15.8
Fraser Health,P8VRW2X7N6CN,2022-05-29,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,13.4
Fraser Health,H4CFVE63HNZ2,2022-05-29,Purpose Society,New Westminster,Fentanyl,Opioid,65.3
Northern Health,YB8GF6B6MNFG,2022-05-28,POUNDS,Prince George,Down (Unknown Opioid),Opioid,20.5
Vancouver Coastal,9FVZ3MMQNNQM,2022-05-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,19.7
Vancouver Coastal,NK3N4B6W39AM,2022-05-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,16.2
