Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Island Health,W68H7DVFUE24,2023-11-30,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,7.3
Interior Health,JXGWYFFDAK3M,2023-11-30,Medicine Shoppe Pharmacy,Vernon,Heroin,Opioid,6.6
Vancouver Coastal,AYWC7KDDPRBC,2023-11-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,14.7
Interior Health,F8RNUBWU7UPR,2023-11-30,Fairhaven,Penticton,Down (Unknown Opioid),Opioid,18.1
Interior Health,RY2Q6NG9Q6RP,2023-11-30,Fairhaven,Penticton,Down (Unknown Opioid),Opioid,15.4
Vancouver Coastal,Y2TRTGVDV3RE,2023-11-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,44.4
Vancouver Coastal,TXP8BVKH7U2Z,2023-11-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,38.0
Vancouver Coastal,D69ZWYU6UH6Q,2023-11-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,20.7
Vancouver Coastal,YAGY4BAWXHMM,2023-11-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,38.4
Interior Health,Y83NYYX2GWMA,2023-11-29,Medicine Shoppe Pharmacy,Vernon,Down (Unknown Opioid),Opioid,17.1
Fraser Health,PPP4N744DQT3,2023-11-29,PCRS Wellness Centre,Chilliwack,Down (Unknown Opioid),Opioid,5.2
Interior Health,T3BZ449C92Y2,2023-11-29,ANKORS (Cranbrook),Cranbrook,Down (Unknown Opioid),Opioid,17.8
Interior Health,J3FM8XRJ2C39,2023-11-29,Outreach Urban Health,Kelowna,Fentanyl,Opioid,22.7
Fraser Health,CAC6MDVHYKK7,2023-11-29,Ruth and Naomi's (Chilliwack),Chilliwack,Down (Unknown Opioid),Opioid,20.3
Vancouver Coastal,2WH6CYVURBXK,2023-11-29,Tla'amin Nation,Powell River,Fentanyl,Opioid,47.3
Vancouver Coastal,XRUXTZDXQ3PF,2023-11-29,Tla'amin Nation,Powell River,Fentanyl,Opioid,7.9
Vancouver Coastal,TGCU3H3K7CED,2023-11-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,9.5
Vancouver Coastal,CHQQG6FPEXGX,2023-11-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,27.6
Fraser Health,EVMMM94DN2EM,2023-11-29,PCRS Wellness Centre,Chilliwack,Down (Unknown Opioid),Opioid,24.9
Fraser Health,HYYWVHARKHUN,2023-11-29,PCRS Wellness Centre,Chilliwack,Down (Unknown Opioid),Opioid,23.9
Fraser Health,ZZXNPMFFZEDZ,2023-11-29,PCRS Wellness Centre,Chilliwack,Down (Unknown Opioid),Opioid,22.5
Fraser Health,RF3UQ8U4E2DB,2023-11-29,Ruth and Naomi's (Chilliwack),Chilliwack,Down (Unknown Opioid),Opioid,17.7
Fraser Health,8KAU3AAP66PG,2023-11-29,PCRS Wellness Centre,Chilliwack,Down (Unknown Opioid),Opioid,12.9
Fraser Health,CNEZCDKCAPYB,2023-11-29,PCRS Wellness Centre,Chilliwack,Fentanyl,Opioid,52.8
Fraser Health,VD4MP4M3789R,2023-11-29,PCRS Wellness Centre,Chilliwack,Down (Unknown Opioid),Opioid,9.0
Fraser Health,47ZGGH43DRRJ,2023-11-29,Ruth and Naomi's (Chilliwack),Chilliwack,Down (Unknown Opioid),Opioid,11.5
Interior Health,UA2NBQUQNRQ3,2023-11-29,ANKORS (Cranbrook),Cranbrook,Down (Unknown Opioid),Opioid,23.6
Fraser Health,7GJ66NRUUEX4,2023-11-29,SafePoint,Surrey,Down (Unknown Opioid),Opioid,29.2
Fraser Health,K4RKX9TNA4VX,2023-11-29,SafePoint,Surrey,Down (Unknown Opioid),Opioid,18.7
Vancouver Coastal,8ND4XQDGY6AW,2023-11-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,14.9
Vancouver Coastal,7U46PZZH6QC3,2023-11-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,33.6
Island Health,GEG2ZPKXWP87,2023-11-29,CMHA,Nanaimo,Down (Unknown Opioid),Opioid,8.4
Vancouver Coastal,YDNHDQR6D9Q7,2023-11-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,22.2
Vancouver Coastal,H2BTHE2B29AD,2023-11-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,29.6
Vancouver Coastal,Q3MBETX3YVBX,2023-11-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,38.8
Vancouver Coastal,YY7PEK39ZQ7Q,2023-11-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,18.7
Fraser Health,VZNYWY9E7WUH,2023-11-29,SafePoint,Surrey,Down (Unknown Opioid),Opioid,9.0
Vancouver Coastal,MP7XAPH3PZPV,2023-11-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,67.9
Fraser Health,MUFGRU96NA4U,2023-11-28,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,19.8
Fraser Health,F4E7BJ67V68P,2023-11-28,Foxglove Housing,Surrey,Down (Unknown Opioid),Opioid,14.5
