Health Authority,Sample ID,Visit Date,Collection Site,City/Town,Drug,Category,Quant
Interior Health,CXMDH289JQM4,2022-10-31,Burdock House (Penticton),Penticton,Down (Unknown Opioid),Opioid,16.8
Interior Health,DAFRAR36JBHQ,2022-10-31,Burdock House (Penticton),Penticton,Down (Unknown Opioid),Opioid,13.6
Vancouver Coastal,QCR3CMPAB644,2022-10-31,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,55.6
Vancouver Coastal,89RJT47D7YN3,2022-10-31,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,72.4
Interior Health,KD7QRWJG3YAU,2022-10-31,Burdock House (Penticton),Penticton,Fentanyl,Opioid,11.2
Interior Health,GUHWTKN9KNMU,2022-10-31,ASK Wellness (433 Tranquille),Kamloops,Fentanyl,Opioid,26.2
Vancouver Coastal,BUN8V6NQXQ7B,2022-10-31,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,27.8
Interior Health,DKFMW6MD7XAK,2022-10-31,Burdock House (Penticton),Penticton,Down (Unknown Opioid),Opioid,16.3
Interior Health,JRATFC27XQMT,2022-10-31,Burdock House (Penticton),Penticton,Down (Unknown Opioid),Opioid,20.2
Vancouver Coastal,QKHMNY72TRAZ,2022-10-31,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,67.2
Vancouver Coastal,CHTAQRZUKN4U,2022-10-31,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,73.0
Interior Health,9ATANF3TCJK2,2022-10-31,Burdock House (Penticton),Penticton,Down (Unknown Opioid),Opioid,16.3
Vancouver Coastal,23JHJJM6G4B4,2022-10-31,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,68.2
Vancouver Coastal,33VWZRQ7UFFT,2022-10-31,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,20.1
Vancouver Coastal,JCY36ZVB9RZZ,2022-10-31,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,51.8
Vancouver Coastal,AHP9V2BAUDZ2,2022-10-31,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,60.7
Interior Health,KR46DX2D36DR,2022-10-31,Burdock House (Penticton),Penticton,Down (Unknown Opioid),Opioid,17.7
Interior Health,W87NBYVW9FFN,2022-10-31,Burdock House (Penticton),Penticton,Down (Unknown Opioid),Opioid,18.2
Vancouver Coastal,Z98TA892UC2H,2022-10-31,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,71.0
Vancouver Coastal,AYP8EBEAB79T,2022-10-31,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,14.4
Fraser Health,WWKUCJBHH423,2022-10-30,The Haven,Mission,Down (Unknown Opioid),Opioid,20.5
Fraser Health,ANYYDYRXP7UN,2022-10-30,The Haven,Mission,Down (Unknown Opioid),Opioid,15.8
Fraser Health,2K33G77PMXE6,2022-10-30,The Haven,Mission,Down (Unknown Opioid),Opioid,20.6
Vancouver Coastal,Z8KYQJCG6EZ6,2022-10-30,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,19.9
Vancouver Coastal,6468VT24FWAT,2022-10-30,Get Your Drugs Tested,Vancouver,Fentanyl,Opioid,54.5
Northern Health,B2JBG8NT88ZN,2022-10-29,POUNDS,Prince George,Down (Unknown Opioid),Opioid,20.9
Northern Health,MKJNQ4NC7FPJ,2022-10-29,POUNDS,Prince George,Down (Unknown Opioid),Opioid,28.2
Northern Health,QXGNNW6C7989,2022-10-29,POUNDS,Prince George,Down (Unknown Opioid),Opioid,23.4
Vancouver Coastal,HQKJ3RXFZPME,2022-10-29,Get Your Drugs Tested,Vancouver,Heroin,Opioid,5.3
Fraser Health,83BWY692EP8Z,2022-10-29,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,21.5
Vancouver Coastal,P82799RBV6GP,2022-10-29,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,13.4
Vancouver Coastal,TK629848ZG3K,2022-10-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,32.5
Northern Health,EX2VUGFJ67UF,2022-10-28,POUNDS,Prince George,Down (Unknown Opioid),Opioid,6.7
Vancouver Coastal,REKDJ2P78K73,2022-10-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,18.2
Fraser Health,8WWEY4N6ANAU,2022-10-28,The Hub,Abbotsford,Fentanyl,Opioid,15.0
Fraser Health,MMV7D424N9ZQ,2022-10-28,The Hub,Abbotsford,Fentanyl,Opioid,16.4
Fraser Health,EBPWWK4Z7DFB,2022-10-28,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,46.0
Vancouver Coastal,E7AYARXA3RQQ,2022-10-28,Insite,Vancouver,Down (Unknown Opioid),Opioid,9.1
Vancouver Coastal,GG6QD874CDYK,2022-10-28,Insite,Vancouver,Down (Unknown Opioid),Opioid,10.6
Vancouver Coastal,U3KJUFF6M9KE,2022-10-28,Insite,Vancouver,Down (Unknown Opioid),Opioid,9.0
Fraser Health,RJEWFWFJ62VE,2022-10-28,The Hub,Abbotsford,Fentanyl,Opioid,18.2
Fraser Health,76XU9YAF9NAT,2022-10-28,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,17.9
Fraser Health,W7YPFBHBC8B8,2022-10-28,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,11.6
Vancouver Coastal,73M7ZWKPXMJX,2022-10-28,Insite,Vancouver,Fentanyl,Opioid,20.6
Vancouver Coastal,A7QXHTBNA4D2,2022-10-28,Insite,Vancouver,Down (Unknown Opioid),Opioid,19.2
Fraser Health,Q8PWM6WH6BZ8,2022-10-28,Purpose Society,New Westminster,Fentanyl,Opioid,36.6
Fraser Health,ATFPNP9PCRUA,2022-10-28,The Hub,Abbotsford,Fentanyl,Opioid,24.5
Fraser Health,MJUKNNJ7ZA7N,2022-10-28,The Hub,Abbotsford,Fentanyl,Opioid,14.5
Fraser Health,NTKG2RVPXFX8,2022-10-28,The Hub,Abbotsford,Fentanyl,Opioid,19.7
Fraser Health,JT7V4CACCB7B,2022-10-28,The Hub,Abbotsford,Fentanyl,Opioid,17.9
Fraser Health,B6W4M892UGE4,2022-10-28,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,39.3
Fraser Health,Y68QCXWCPUN6,2022-10-28,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,22.7
Interior Health,QCBAJA3EHWKE,2022-10-28,ASK Wellness (433 Tranquille),Kamloops,Fentanyl,Opioid,13.8
Vancouver Coastal,RKX7URVUNHHE,2022-10-28,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,23.1
Interior Health,UH8PVCZYQNX6,2022-10-28,Martin St Outreach Centre OPS,Penticton,Down (Unknown Opioid),Opioid,17.6
Northern Health,2XDHBV4UJ3EB,2022-10-28,POUNDS,Prince George,Down (Unknown Opioid),Opioid,19.4
Northern Health,T4PAJPDNVUNP,2022-10-28,Northwest ICMT,Terrace,Down (Unknown Opioid),Opioid,18.4
Northern Health,TAGQ2VH3NNKY,2022-10-28,Northwest ICMT,Terrace,Down (Unknown Opioid),Opioid,13.0
Vancouver Coastal,KZ2Q6XKPCPAE,2022-10-27,Insite,Vancouver,Heroin,Opioid,23.5
Vancouver Coastal,XW8Q38GDT2T8,2022-10-27,Insite,Vancouver,Heroin,Opioid,28.3
Vancouver Coastal,BDRJA2H92X9Z,2022-10-27,Insite,Vancouver,Fentanyl,Opioid,8.0
Interior Health,GCYKK8JKH42W,2022-10-27,P+OPS Mobile (Penticton),Penticton,Down (Unknown Opioid),Opioid,17.2
Interior Health,RJDVBYRFM6NB,2022-10-27,P+OPS Mobile (Penticton),Penticton,Down (Unknown Opioid),Opioid,20.5
Vancouver Coastal,HN6AJY64VX27,2022-10-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,7.4
Vancouver Coastal,E89N8X9KH289,2022-10-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,30.4
Vancouver Coastal,CQ8VEN7JQPPY,2022-10-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,23.9
Fraser Health,TH37FYH7VA8J,2022-10-27,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,15.9
Interior Health,9BA7NREBJZDE,2022-10-27,Living Positive Resource Centre,Kelowna,Down (Unknown Opioid),Opioid,8.6
Vancouver Coastal,887C3KY79BZN,2022-10-27,Insite,Vancouver,Fentanyl,Opioid,9.8
Vancouver Coastal,9TPAPX6V47YD,2022-10-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,21.7
Interior Health,UTB9GEFYRJZH,2022-10-27,P+OPS Mobile (Penticton),Penticton,Down (Unknown Opioid),Opioid,20.1
Vancouver Coastal,TQQP4W8M282Y,2022-10-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,7.8
Interior Health,GYWQFGJHB9UC,2022-10-27,P+OPS Mobile (Penticton),Penticton,Down (Unknown Opioid),Opioid,9.2
Vancouver Coastal,AN7MMY8U8VYZ,2022-10-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,27.1
Vancouver Coastal,3MYNQTCGQ9HJ,2022-10-27,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,30.9
Interior Health,GC8WBG39JUUN,2022-10-26,ANKORS (Cranbrook),Cranbrook,Down (Unknown Opioid),Opioid,25.8
Fraser Health,Z2T7FTZUZU2Q,2022-10-26,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,18.5
Vancouver Coastal,4V9BY8K4XQTX,2022-10-26,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,67.9
Vancouver Coastal,T7XBHEF27VVW,2022-10-26,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,19.6
Vancouver Coastal,2TE2RYCE3V4T,2022-10-26,Insite,Vancouver,Fentanyl,Opioid,19.8
Fraser Health,4XXUEF3PBKZE,2022-10-26,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,20.2
Fraser Health,AWT3FBZUQ89X,2022-10-26,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,16.0
Fraser Health,PBP4ZPZFD8AF,2022-10-26,Purpose Society,New Westminster,Down (Unknown Opioid),Opioid,21.0
Vancouver Coastal,FU4KADVWPK8A,2022-10-26,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,65.2
Vancouver Coastal,XKKR3W8B2TAP,2022-10-26,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,25.7
Vancouver Coastal,6TNY2RFKCGF7,2022-10-26,Insite,Vancouver,Down (Unknown Opioid),Opioid,58.8
Vancouver Coastal,TMCMFJMDZRCM,2022-10-26,Insite,Vancouver,Fentanyl,Opioid,15.1
Vancouver Coastal,TZNHFEECEYKY,2022-10-26,Insite,Vancouver,Fentanyl,Opioid,16.6
Fraser Health,BA82WPMTQJ3Y,2022-10-26,SafePoint,Surrey,Down (Unknown Opioid),Opioid,26.6
Fraser Health,CDWEBHRMD9R6,2022-10-26,SafePoint,Surrey,Down (Unknown Opioid),Opioid,23.0
Fraser Health,XRH9PKAPMPXW,2022-10-26,SafePoint,Surrey,Down (Unknown Opioid),Opioid,32.5
Fraser Health,Y6MMKYHF3BC7,2022-10-26,SafePoint,Surrey,Down (Unknown Opioid),Opioid,27.7
Vancouver Coastal,MTZP46WMMYXT,2022-10-26,Get Your Drugs Tested,Vancouver,Down (Unknown Opioid),Opioid,19.9
Fraser Health,FPE8FR8ZF6TX,2022-10-26,SafePoint,Surrey,Down (Unknown Opioid),Opioid,24.1
Vancouver Coastal,7XJ9R2APV7CT,2022-10-26,Insite,Vancouver,Fentanyl,Opioid,13.3
Vancouver Coastal,N7DWXQ9ARA3X,2022-10-26,Insite,Vancouver,Fentanyl,Opioid,13.4
Vancouver Coastal,Y98QDC9PN6EP,2022-10-26,Insite,Vancouver,Fentanyl,Opioid,9.4
Vancouver Coastal,RFJA4WYFDYQF,2022-10-26,Insite,Vancouver,Fentanyl,Opioid,24.7
Vancouver Coastal,V3X2MP2DZJD2,2022-10-26,Insite,Vancouver,Fentanyl,Opioid,24.9
Fraser Health,8Z2TE8HTWH8F,2022-10-26,SafePoint,Surrey,Down (Unknown Opioid),Opioid,17.5
Fraser Health,C2GQA3UQUXHW,2022-10-26,SafePoint,Surrey,Down (Unknown Opioid),Opioid,14.9
Vancouver Coastal,K7NXHQQ6GGTK,2022-10-26,Insite,Vancouver,Fentanyl,Opioid,17.0
Vancouver Coastal,9QHUUTXVJ7QX,2022-10-26,Insite,Vancouver,Fentanyl,Opioid,10.9
